tester_id,player_type,device,first_capture_seconds,tutorial_finished,reached_run_3,style_actions,understood_value_rule,replay_intent,blocker,notes
T01,light,,,,,,,,,
T02,light,,,,,,,,,
T03,light,,,,,,,,,
T04,light,,,,,,,,,
T05,light,,,,,,,,,
T06,light,,,,,,,,,
T07,light,,,,,,,,,
T08,light,,,,,,,,,
T09,light,,,,,,,,,
T10,light,,,,,,,,,
T11,action,,,,,,,,,
T12,action,,,,,,,,,
T13,action,,,,,,,,,
T14,action,,,,,,,,,
T15,action,,,,,,,,,
T16,action,,,,,,,,,
T17,action,,,,,,,,,
T18,action,,,,,,,,,
T19,action,,,,,,,,,
T20,action,,,,,,,,,
T21,non_fishing,,,,,,,,,
T22,non_fishing,,,,,,,,,
T23,non_fishing,,,,,,,,,
T24,non_fishing,,,,,,,,,
T25,non_fishing,,,,,,,,,
T26,non_fishing,,,,,,,,,
T27,non_fishing,,,,,,,,,
T28,non_fishing,,,,,,,,,
T29,non_fishing,,,,,,,,,
T30,non_fishing,,,,,,,,,
